Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.327162e+01  7.258821e-01  2.274970e+07  0.000000e+00
5000          -9.575332e+00  8.980392e+01  2.447128e-03  1.792845e+00  6.783296e+10  8.845405e-01
10000         -9.558428e+00  8.975501e+01  1.108170e-03  2.256523e+00  1.354753e+11  8.857851e-01
15000         -9.552801e+00  8.929636e+01  6.885529e-04  2.621223e+00  2.030119e+11  8.866624e-01
20000         -9.550005e+00  8.818790e+01  5.493164e-04  2.940255e+00  2.705180e+11  8.872017e-01
25000         -9.548318e+00  8.654765e+01  4.882812e-04  3.224403e+00  3.380670e+11  8.874129e-01
30000         -9.547174e+00  8.458365e+01  4.577637e-04  3.481972e+00  4.055652e+11  8.876650e-01
35000         -9.546337e+00  8.246360e+01  4.425049e-04  3.721899e+00  4.730983e+11  8.877796e-01
40000         -9.545691e+00  8.029950e+01  4.348755e-04  3.944850e+00  5.406288e+11  8.878698e-01
45000         -9.545179e+00  7.815659e+01  4.272461e-04  4.155830e+00  6.081216e+11  8.879951e-01
50000         -9.544758e+00  7.607373e+01  4.119873e-04  4.348683e+00  6.758368e+11  8.878031e-01
